order_id,customer_name,state,product,quantity,price_per_unit,total_amount,status
1001,Asha Verma,Uttar Pradesh,Mobile Phone,1,15000.0,15000.0,SHIPPED
1003,Lobsang Tsering,Ladakh,Mouse,3,350.0,1050.0,DELIVERED
1012,Savita Borkar,Maharashtra,Laptop,1,52000.0,52000.0,SHIPPED
1014,Naveen Patil,Karnataka,Tablet,4,18000.0,72000.0,SHIPPED
1018,Sameer Khan,Rajasthan,Mouse,2,350.0,700.0,DELIVERED
1020,Vijay Gupta,Uttar Pradesh,Mobile Phone,2,14500.0,29000.0,SHIPPED
1022,K. Suresh,Tamil Nadu,Keyboard,1,700.0,700.0,SHIPPED
1023,Naresh Joshi,Gujarat,Charger,2,450.0,900.0,PENDING
1031,Rohit Sharma,Delhi,Smartwatch,1,3500.0,3500.0,SHIPPED
1033,Megha Kapoor,Rajasthan,Charger,1,300.0,300.0,DELIVERED
1034,Shruti Rao,Karnataka,Mobile Phone,2,16000.0,32000.0,SHIPPED
1036,Vishal Mehta,Gujarat,Keyboard,1,750.0,750.0,DELIVERED
1040,Trisha Dutt,West Bengal,Charger,3,250.0,750.0,SHIPPED
1044,Akash Singh,Delhi,Mobile Phone,2,15000.0,30000.0,CANCELLED
1046,Rajiv Patel,Gujarat,Keyboard,1,650.0,650.0,SHIPPED
1049,Salman Yusuf,Karnataka,Laptop,1,48000.0,48000.0,DELIVERED
1050,Aparna Pillai,Kerala,Tablet,2,15000.0,30000.0,SHIPPED
1051,Yogesh Kumar,Maharashtra,USB Cable,4,200.0,800.0,PENDING
1058,John Abraham,Kerala,Headphones,2,900.0,1800.0,SHIPPED
1060,Hari Krishnan,Tamil Nadu,USB Cable,2,200.0,400.0,SHIPPED
1061,Suman Das,West Bengal,Laptop Bag,1,750.0,750.0,DELIVERED
1064,Ritika Rao,Karnataka,Speaker,1,1200.0,1200.0,SHIPPED
1066,Satish Anand,Punjab,Mobile Phone,2,15000.0,30000.0,DELIVERED
1067,Latika Tiwari,Uttar Pradesh,Charger,3,250.0,750.0,SHIPPED
1069,Reema Khan,Delhi,Keyboard,2,750.0,1500.0,SHIPPED
1072,Kabir Arora,Punjab,Laptop,1,52000.0,52000.0,SHIPPED
1077,Varsha Bhandari,Gujarat,Keyboard,1,700.0,700.0,DELIVERED
1079,Priya Nair,Kerala,Smartwatch,2,2500.0,5000.0,SHIPPED
1080,Farhan Ali,Uttar Pradesh,Speaker,1,1200.0,1200.0,CANCELLED
1082,Deepika Madhavan,Karnataka,Charger,2,300.0,600.0,PENDING
1084,Nalini Sharma,Rajasthan,Mouse,2,450.0,900.0,SHIPPED
1086,Aditi Gupta,Delhi,Mobile Phone,2,15000.0,30000.0,SHIPPED
1088,Kavin Kumar,Tamil Nadu,Headphones,5,999.0,4995.0,PENDING
1092,Tsering Dolma,Ladakh,Tablet,1,17000.0,17000.0,SHIPPED
1093,Manish Patel,Gujarat,USB Cable,2,200.0,400.0,DELIVERED
1096,Savita Jain,Delhi,Charger,4,300.0,1200.0,DELIVERED
1097,Raghav Sharma,Rajasthan,Smartwatch,2,2600.0,5200.0,CANCELLED
1100,Nilima Patil,Maharashtra,Smartwatch,4,2600.0,10400.0,SHIPPED
1101,Vijay Rane,Maharashtra,Keyboard,2,750.0,1500.0,SHIPPED
1102,Vasudha Rao,Karnataka,Speaker,1,1200.0,1200.0,DELIVERED
1105,Karishma Mehta,Gujarat,Mouse,2,450.0,900.0,SHIPPED
1108,Ritesh Sharma,Rajasthan,USB Cable,5,200.0,1000.0,CANCELLED
1112,Sneha Nambiar,Kerala,Charger,1,300.0,300.0,SHIPPED
1115,Ganesh Patil,Maharashtra,Laptop,1,52000.0,52000.0,SHIPPED
1119,Shankar Iyer,Tamil Nadu,Smartwatch,2,2600.0,5200.0,DELIVERED
1120,Aneesh George,Kerala,Mouse,3,400.0,1200.0,PENDING
1125,Yusuf Pathan,Gujarat,Mouse,3,350.0,1050.0,SHIPPED
1126,Divya M,Karnataka,Smartwatch,1,2500.0,2500.0,DELIVERED
1127,Pritam Paul,West Bengal,Laptop Bag,2,850.0,1700.0,PENDING
1133,Ishita Sen,West Bengal,Tablet,1,16000.0,16000.0,SHIPPED
1136,Anand Nair,Kerala,Keyboard,1,750.0,750.0,SHIPPED
1137,Indu Priya,Karnataka,Smartwatch,2,2500.0,5000.0,DELIVERED
1140,Kiran Rathod,Gujarat,Mobile Phone,2,15000.0,30000.0,DELIVERED
1141,Anupama Singh,Uttar Pradesh,USB Cable,2,200.0,400.0,SHIPPED
1143,Iqbal Shaikh,Maharashtra,Tablet,4,18000.0,72000.0,SHIPPED
1145,Pooja Kaur,Punjab,Keyboard,1,700.0,700.0,DELIVERED
1147,Girish Patil,Karnataka,Headphones,3,950.0,2850.0,SHIPPED
