101,Asha Nair,Laptop,2,45000,2025-01-10,90000,2025-01-15
102,Rahul Menon,Keyboard,3,1200,2025-01-15,3600,2025-01-20
106,Sameer R,Headphones,1,2500,2025-03-05,2500,2025-03-10
109,Lekha Joseph,Printer,1,12000,2024-12-01,12000,2024-12-06
110,John Daniel,SSD,3,3500,2025-07-18,10500,2025-07-23
111,Vinod Kumar,Router,1,4500,2025-05-22,4500,2025-05-27
115,Kiran Babu,Monitor,1,8500,2025-01-05,8500,2025-01-10
118,Nithin P,Mousepad,2,400,2025-11-05,800,2025-11-10
119,Sachin Patil,Printer,1,13000,2025-10-28,13000,2025-11-03
120,Roshan George,Laptop,2,55000,2025-04-17,110000,2025-04-22
121,Anu Mathew,Keyboard,3,1600,2025-03-15,4800,2025-03-20
122,Karthik Iyer,Mouse,4,800,2025-02-10,3200,2025-02-15
124,Suhail Ahmed,Monitor,2,9000,2024-11-25,18000,2024-11-30
125,Keerthi S,Laptop,1,47000,2025-09-14,47000,2025-09-19
127,Ganesh Rao,Mousepad,4,500,2025-06-05,2000,2025-06-10
129,Arjun S,SSD,3,3800,2024-12-30,11400,2025-01-04
132,Manoj Pillai,Webcam,2,1800,2025-02-05,3600,2025-02-10
133,Sreedevi P,Mouse,1,700,2023-05-20,700,2023-05-25
134,Tanvi Shah,Laptop,2,50000,2025-05-25,100000,2025-05-30
136,Om Prakash,Monitor,1,8500,2025-09-09,8500,2025-09-15
137,Meghana R,SSD,2,3000,2025-08-20,6000,2025-08-25
138,Nazim Khan,Mousepad,2,500,2025-02-28,1000,2025-03-05
139,Riya Sen,Headphones,1,2500,2025-06-15,2500,2025-06-20
140,Arvind Gupta,Router,1,4500,2025-10-01,4500,2025-10-06
142,Kavya Menon,Keyboard,3,1300,2025-07-05,3900,2025-07-10
143,Anoop Krishnan,Laptop,2,52000,2025-03-22,104000,2025-03-27
145,Swapna Rao,Mouse,3,700,2025-06-30,2100,2025-07-05
146,Niharika S,Router,1,4500,2025-02-27,4500,2025-03-04
148,Sheela Chacko,Laptop,2,51000,2025-05-10,102000,2025-05-15
149,Rohit Shetty,Keyboard,3,1100,2025-05-18,3300,2025-05-23
